org_name,ein,ntee,year,pdf_url,save_as,download_status
NAACP LDF,131655255,B,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F131655255_201606_990_2017071714569132.pdf,131655255_2016.pdf,skipped_exists
NAACP LDF,131655255,B,2018,https://projects.propublica.org/nonprofits/download-filing?path=05_2019_prefixes_06-13%2F131655255_201806_990_2019051516304192.pdf,131655255_2018.pdf,skipped_exists
NAACP LDF,131655255,B,2020,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_13-13%2F131655255_202006_990_2021052018154764.pdf,131655255_2020.pdf,skipped_exists
NAACP LDF,131655255,B,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_06_2023_prefixes_06-16%2F131655255_202206_990_2023060921421338.pdf,131655255_2022.pdf,skipped_exists
UNCF,131624241,B,2016,https://projects.propublica.org/nonprofits/download-filing?path=2017_01_EO%2F13-1624241_990_201603.pdf,131624241_2016.pdf,skipped_exists
UNCF,131624241,B,2020,https://projects.propublica.org/nonprofits/download-filing?path=04_2021_prefixes_06-13%2F131624241_202003_990_2021040517886388.pdf,131624241_2020.pdf,skipped_exists
UNCF,131624241,B,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F131624241_202203_990_2023053021315514.pdf,131624241_2022.pdf,skipped_exists
Teach For America,133541913,B,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F133541913_201605_990_2017082214662959.pdf,133541913_2016.pdf,skipped_exists
Teach For America,133541913,B,2018,https://projects.propublica.org/nonprofits/download-filing?path=05_2019_prefixes_13-16%2F133541913_201805_990_2019051316293286.pdf,133541913_2018.pdf,skipped_exists
Teach For America,133541913,B,2020,https://projects.propublica.org/nonprofits/download-filing?path=04_2021_prefixes_13-13%2F133541913_202005_990_2021042117977579.pdf,133541913_2020.pdf,skipped_exists
Teach For America,133541913,B,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_06_2023_prefixes_06-16%2F133541913_202205_990_2023060621383063.pdf,133541913_2022.pdf,skipped_exists
United Way,131635294,P,2016,https://projects.propublica.org/nonprofits/download-filing?path=01_2018_prefixes_06-13%2F131635294_201612_990_2018013115158062.pdf,131635294_2016.pdf,skipped_exists
United Way,131635294,P,2018,https://projects.propublica.org/nonprofits/download-filing?path=02_2020_prefixes_05-13%2F131635294_201812_990_2020020417103268.pdf,131635294_2018.pdf,skipped_exists
United Way,131635294,P,2020,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F131635294_202012_990_2022102620566327.pdf,131635294_2020.pdf,skipped_exists
United Way,131635294,P,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_11_2023_prefixes_04-13%2F131635294_202212_990_2023113022029079.pdf,131635294_2022.pdf,skipped_exists
Goodwill Intl,530196517,P,2016,https://projects.propublica.org/nonprofits/download-filing?path=01_2018_prefixes_52-54%2F530196517_201612_990_2018010915103405.pdf,530196517_2016.pdf,skipped_exists
Goodwill Intl,530196517,P,2018,https://projects.propublica.org/nonprofits/download-filing?path=06_2020_prefixes_51-57%2F530196517_201812_990_2020060517178771.pdf,530196517_2018.pdf,skipped_exists
Goodwill Intl,530196517,P,2020,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_52-54%2F530196517_202012_990_2021052418175317.pdf,530196517_2020.pdf,skipped_exists
Goodwill Intl,530196517,P,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_08_2023_prefixes_52-81%2F530196517_202212_990_2023082921573294.pdf,530196517_2022.pdf,skipped_exists
American Red Cross,530196605,P,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F530196605_201606_990_2017091514741563.pdf,530196605_2016.pdf,skipped_exists
American Red Cross,530196605,P,2018,https://projects.propublica.org/nonprofits/download-filing?path=02_2019_prefixes_52-54%2F530196605_201806_990_2019021416097064.pdf,530196605_2018.pdf,skipped_exists
American Red Cross,530196605,P,2020,https://projects.propublica.org/nonprofits/download-filing?path=04_2021_prefixes_52-54%2F530196605_202006_990_2021042117979664.pdf,530196605_2020.pdf,skipped_exists
American Red Cross,530196605,P,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F530196605_202206_990_2023060221351871.pdf,530196605_2022.pdf,skipped_exists
ACLU Foundation,136213516,R,2016,https://projects.propublica.org/nonprofits/download-filing?path=2017_01_EO%2F13-6213516_990_201603.pdf,136213516_2016.pdf,skipped_exists
ACLU Foundation,136213516,R,2020,https://projects.propublica.org/nonprofits/download-filing?path=02_2021_prefixes_13-20%2F136213516_202003_990_2021022217743343.pdf,136213516_2020.pdf,skipped_exists
ACLU Foundation,136213516,R,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F136213516_202203_990_2023051021202826.pdf,136213516_2022.pdf,skipped_exists
National Urban League,131840489,R,2016,https://projects.propublica.org/nonprofits/download-filing?path=01_2018_prefixes_06-13%2F131840489_201612_990_2018012515148252.pdf,131840489_2016.pdf,skipped_exists
National Urban League,131840489,R,2018,https://projects.propublica.org/nonprofits/download-filing?path=01_2020_prefixes_06-13%2F131840489_201812_990_2020011417026621.pdf,131840489_2018.pdf,skipped_exists
National Urban League,131840489,R,2020,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_04_2022_prefixes_01-14%2F131840489_202012_990_2022041119848839.pdf,131840489_2020.pdf,skipped_exists
HRC Foundation,521481896,R,2016,https://projects.propublica.org/nonprofits/download-filing?path=2017_01_EO%2F52-1481896_990_201603.pdf,521481896_2016.pdf,skipped_exists
HRC Foundation,521481896,R,2018,https://projects.propublica.org/nonprofits/download-filing?path=10_2018_prefixes_52-54%2F521481896_201803_990_2018102415829816.pdf,521481896_2018.pdf,skipped_exists
HRC Foundation,521481896,R,2020,https://projects.propublica.org/nonprofits/download-filing?path=11_2020_prefixes_45-52%2F521481896_202003_990_2020111917428523.pdf,521481896_2020.pdf,skipped_exists
HRC Foundation,521481896,R,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F521481896_202203_990_2023020320903032.pdf,521481896_2022.pdf,skipped_exists
Lincoln Center,131847137,A,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F131847137_201606_990_2017092814779673.pdf,131847137_2016.pdf,skipped_exists
Lincoln Center,131847137,A,2018,https://projects.propublica.org/nonprofits/download-filing?path=08_2019_prefixes_04-13%2F131847137_201806_990_2019080916557621.pdf,131847137_2018.pdf,skipped_exists
Lincoln Center,131847137,A,2020,https://projects.propublica.org/nonprofits/download-filing?path=05_2021_prefixes_13-13%2F131847137_202006_990_2021052518186824.pdf,131847137_2020.pdf,skipped_exists
Lincoln Center,131847137,A,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_06_2023_prefixes_06-16%2F131847137_202206_990_2023060921424547.pdf,131847137_2022.pdf,skipped_exists
