org_name,ein,ntee,year,term,count
Met Museum of Art,131624086,A,2016,acknowledgement,1
Met Museum of Art,131624086,A,2016,dialogue,1
Met Museum of Art,131624086,A,2016,equity,3
Met Museum of Art,131624086,A,2016,cultural heritage,1
Met Museum of Art,131624086,A,2016,discriminatory,2
Met Museum of Art,131624086,A,2016,privileges,1
Met Museum of Art,131624086,A,2018,acknowledgement,1
Met Museum of Art,131624086,A,2018,equity,3
Met Museum of Art,131624086,A,2018,impact,2
Met Museum of Art,131624086,A,2018,race,1
Met Museum of Art,131624086,A,2018,cultural heritage,1
Met Museum of Art,131624086,A,2018,discriminatory,2
Met Museum of Art,131624086,A,2018,fostering,2
Met Museum of Art,131624086,A,2018,privileges,1
Met Museum of Art,131624086,A,2018,justice,1
Met Museum of Art,131624086,A,2018,social justice,1
Met Museum of Art,131624086,A,2020,acknowledgement,1
Met Museum of Art,131624086,A,2020,diversity,4
Met Museum of Art,131624086,A,2020,equity,4
Met Museum of Art,131624086,A,2020,impact,2
Met Museum of Art,131624086,A,2020,inclusion,1
Met Museum of Art,131624086,A,2020,leadership,1
Met Museum of Art,131624086,A,2020,race,2
Met Museum of Art,131624086,A,2020,racism,3
Met Museum of Art,131624086,A,2020,solidarity,2
Met Museum of Art,131624086,A,2020,advocate,2
Met Museum of Art,131624086,A,2020,cultural heritage,1
Met Museum of Art,131624086,A,2020,discriminatory,2
Met Museum of Art,131624086,A,2020,diversify,2
Met Museum of Art,131624086,A,2020,privileges,1
Met Museum of Art,131624086,A,2020,justice,3
Met Museum of Art,131624086,A,2020,social justice,2
Met Museum of Art,131624086,A,2020,women,1
Met Museum of Art,131624086,A,2022,acknowledgement,1
Met Museum of Art,131624086,A,2022,diversity,1
Met Museum of Art,131624086,A,2022,empathy,1
Met Museum of Art,131624086,A,2022,equity,4
Met Museum of Art,131624086,A,2022,impact,2
Met Museum of Art,131624086,A,2022,inclusive,2
Met Museum of Art,131624086,A,2022,indigenous,1
Met Museum of Art,131624086,A,2022,marginalized,1
Met Museum of Art,131624086,A,2022,race,2
Met Museum of Art,131624086,A,2022,resilience,3
Met Museum of Art,131624086,A,2022,activism,1
Met Museum of Art,131624086,A,2022,barrier,1
Met Museum of Art,131624086,A,2022,barriers,1
Met Museum of Art,131624086,A,2022,cultural heritage,1
Met Museum of Art,131624086,A,2022,disabilities,1
Met Museum of Art,131624086,A,2022,discriminatory,2
Met Museum of Art,131624086,A,2022,diversify,2
Met Museum of Art,131624086,A,2022,equitable,1
Met Museum of Art,131624086,A,2022,marginalize,1
Met Museum of Art,131624086,A,2022,privileges,1
Met Museum of Art,131624086,A,2022,promoting,1
Met Museum of Art,131624086,A,2022,justice,3
Met Museum of Art,131624086,A,2022,social justice,3
Met Museum of Art,131624086,A,2022,underrepresented,2
UNCF,131624241,B,2016,acknowledgement,1
UNCF,131624241,B,2016,equity,2
UNCF,131624241,B,2016,leadership,1
UNCF,131624241,B,2016,race,1
UNCF,131624241,B,2016,women,1
UNCF,131624241,B,2020,equity,2
UNCF,131624241,B,2020,impact,1
UNCF,131624241,B,2020,leadership,1
UNCF,131624241,B,2020,race,1
UNCF,131624241,B,2020,diversified,1
UNCF,131624241,B,2020,promoting,1
UNCF,131624241,B,2020,women,1
UNCF,131624241,B,2022,advocacy,2
UNCF,131624241,B,2022,equity,2
UNCF,131624241,B,2022,impact,1
UNCF,131624241,B,2022,leadership,1
UNCF,131624241,B,2022,race,1
UNCF,131624241,B,2022,promoting,1
UNCF,131624241,B,2022,women,2
United Way,131635294,P,2016,acknowledgement,1
United Way,131635294,P,2016,advocacy,1
United Way,131635294,P,2016,equity,2
United Way,131635294,P,2016,impact,11
United Way,131635294,P,2016,inclusion,1
United Way,131635294,P,2016,indigenous,1
United Way,131635294,P,2016,leadership,16
United Way,131635294,P,2016,race,5
United Way,131635294,P,2016,racial,1
United Way,131635294,P,2016,transparency,1
United Way,131635294,P,2016,advocate,6
United Way,131635294,P,2016,multicultural,1
United Way,131635294,P,2016,justice,3
United Way,131635294,P,2016,victim,1
United Way,131635294,P,2016,women,4
United Way,131635294,P,2018,acknowledgement,1
United Way,131635294,P,2018,advocacy,8
United Way,131635294,P,2018,diversity,2
United Way,131635294,P,2018,equity,2
United Way,131635294,P,2018,impact,15
United Way,131635294,P,2018,leadership,22
United Way,131635294,P,2018,race,15
United Way,131635294,P,2018,advocate,6
United Way,131635294,P,2018,equality,1
United Way,131635294,P,2018,gender,1
United Way,131635294,P,2018,justice,5
United Way,131635294,P,2018,women,13
United Way,131635294,P,2020,acknowledgement,1
United Way,131635294,P,2020,advocacy,5
United Way,131635294,P,2020,equity,3
United Way,131635294,P,2020,impact,10
United Way,131635294,P,2020,latinx,1
United Way,131635294,P,2020,leadership,11
United Way,131635294,P,2020,race,29
United Way,131635294,P,2020,resilience,1
United Way,131635294,P,2020,advocate,2
United Way,131635294,P,2020,equality,2
United Way,131635294,P,2020,gender,1
United Way,131635294,P,2020,justice,5
United Way,131635294,P,2020,social justice,1
United Way,131635294,P,2020,women,17
United Way,131635294,P,2022,acknowledgement,1
United Way,131635294,P,2022,advocacy,1
United Way,131635294,P,2022,equity,7
United Way,131635294,P,2022,impact,1
United Way,131635294,P,2022,leadership,3
United Way,131635294,P,2022,race,1
United Way,131635294,P,2022,advocate,1
NAACP LDF,131655255,B,2016,acknowledgement,1
NAACP LDF,131655255,B,2016,advocacy,16
NAACP LDF,131655255,B,2016,equity,2
NAACP LDF,131655255,B,2016,race,16
NAACP LDF,131655255,B,2016,racial,2
NAACP LDF,131655255,B,2016,advocate,3
NAACP LDF,131655255,B,2016,equality,1
NAACP LDF,131655255,B,2016,gender,14
NAACP LDF,131655255,B,2016,justice,8
NAACP LDF,131655255,B,2016,social justice,1
NAACP LDF,131655255,B,2018,acknowledgement,1
NAACP LDF,131655255,B,2018,advocacy,2
NAACP LDF,131655255,B,2018,diversity,1
NAACP LDF,131655255,B,2018,equity,3
NAACP LDF,131655255,B,2018,race,2
NAACP LDF,131655255,B,2018,racial,2
NAACP LDF,131655255,B,2018,equality,1
NAACP LDF,131655255,B,2018,justice,8
NAACP LDF,131655255,B,2020,acknowledgement,1
NAACP LDF,131655255,B,2020,advocacy,2
NAACP LDF,131655255,B,2020,equity,3
NAACP LDF,131655255,B,2020,race,2
NAACP LDF,131655255,B,2020,racial,2
NAACP LDF,131655255,B,2020,equality,1
NAACP LDF,131655255,B,2020,justice,9
NAACP LDF,131655255,B,2022,acknowledgement,1
NAACP LDF,131655255,B,2022,advocacy,2
NAACP LDF,131655255,B,2022,equity,3
NAACP LDF,131655255,B,2022,race,2
NAACP LDF,131655255,B,2022,racial,2
NAACP LDF,131655255,B,2022,equality,1
NAACP LDF,131655255,B,2022,justice,10
NAACP LDF,131655255,B,2022,women,2
National Urban League,131840489,R,2016,advocacy,1
National Urban League,131840489,R,2016,equity,2
National Urban League,131840489,R,2016,leadership,1
National Urban League,131840489,R,2016,racial,1
National Urban League,131840489,R,2016,equality,1
National Urban League,131840489,R,2016,justice,1
National Urban League,131840489,R,2016,underserved,1
National Urban League,131840489,R,2018,advocacy,1
National Urban League,131840489,R,2018,equity,2
National Urban League,131840489,R,2018,leadership,2
National Urban League,131840489,R,2018,racial,1
National Urban League,131840489,R,2018,equality,1
National Urban League,131840489,R,2018,justice,1
National Urban League,131840489,R,2018,underserved,1
National Urban League,131840489,R,2020,acknowledgement,1
National Urban League,131840489,R,2020,advocacy,1
National Urban League,131840489,R,2020,equity,3
National Urban League,131840489,R,2020,leadership,1
National Urban League,131840489,R,2020,race,1
National Urban League,131840489,R,2020,racial,1
National Urban League,131840489,R,2020,equality,1
National Urban League,131840489,R,2020,justice,1
National Urban League,131840489,R,2020,underserved,1
Lincoln Center,131847137,A,2016,acknowledgement,1
Lincoln Center,131847137,A,2016,equity,6
Lincoln Center,131847137,A,2016,race,1
Lincoln Center,131847137,A,2016,disabilities,1
Lincoln Center,131847137,A,2016,fostering,2
Lincoln Center,131847137,A,2016,underserved,1
Lincoln Center,131847137,A,2018,acknowledgement,1
Lincoln Center,131847137,A,2018,equity,6
Lincoln Center,131847137,A,2018,race,1
Lincoln Center,131847137,A,2018,disabilities,1
Lincoln Center,131847137,A,2018,fostering,2
Lincoln Center,131847137,A,2018,underserved,1
Lincoln Center,131847137,A,2020,acknowledgement,1
Lincoln Center,131847137,A,2020,equity,7
Lincoln Center,131847137,A,2020,leadership,1
Lincoln Center,131847137,A,2020,race,2
Lincoln Center,131847137,A,2020,advocate,1
Lincoln Center,131847137,A,2020,disabilities,1
Lincoln Center,131847137,A,2020,fostering,1
Lincoln Center,131847137,A,2020,underserved,2
Lincoln Center,131847137,A,2022,acknowledgement,1
Lincoln Center,131847137,A,2022,diversity,1
Lincoln Center,131847137,A,2022,equity,8
Lincoln Center,131847137,A,2022,inclusion,1
Lincoln Center,131847137,A,2022,leadership,1
Lincoln Center,131847137,A,2022,race,2
Lincoln Center,131847137,A,2022,disabilities,1
Lincoln Center,131847137,A,2022,fostering,1
Lincoln Center,131847137,A,2022,justice,1
Lincoln Center,131847137,A,2022,social justice,1
Lincoln Center,131847137,A,2022,underserved,1
Teach For America,133541913,B,2016,acknowledgement,1
Teach For America,133541913,B,2016,equity,8
Teach For America,133541913,B,2016,impact,4
Teach For America,133541913,B,2016,leadership,9
Teach For America,133541913,B,2016,advocate,1
Teach For America,133541913,B,2016,underserved,1
Teach For America,133541913,B,2018,acknowledgement,1
Teach For America,133541913,B,2018,advocacy,1
Teach For America,133541913,B,2018,equity,6
Teach For America,133541913,B,2018,impact,3
Teach For America,133541913,B,2018,leadership,9
Teach For America,133541913,B,2018,advocate,1
Teach For America,133541913,B,2018,underserved,1
Teach For America,133541913,B,2020,acknowledgement,1
Teach For America,133541913,B,2020,advocacy,2
Teach For America,133541913,B,2020,equity,5
Teach For America,133541913,B,2020,impact,8
Teach For America,133541913,B,2020,leadership,15
Teach For America,133541913,B,2020,marginalized,2
Teach For America,133541913,B,2020,race,1
Teach For America,133541913,B,2020,advocate,1
Teach For America,133541913,B,2020,marginalize,2
Teach For America,133541913,B,2022,acknowledgement,1
Teach For America,133541913,B,2022,advocacy,3
Teach For America,133541913,B,2022,equity,5
Teach For America,133541913,B,2022,impact,5
Teach For America,133541913,B,2022,leadership,12
Teach For America,133541913,B,2022,marginalized,2
Teach For America,133541913,B,2022,race,1
Teach For America,133541913,B,2022,advocate,2
Teach For America,133541913,B,2022,marginalize,2
ACLU Foundation,136213516,R,2016,acknowledgement,1
ACLU Foundation,136213516,R,2016,advocacy,5
ACLU Foundation,136213516,R,2016,equity,2
ACLU Foundation,136213516,R,2016,impact,2
ACLU Foundation,136213516,R,2016,people of color,1
ACLU Foundation,136213516,R,2016,race,1
ACLU Foundation,136213516,R,2016,racial,2
ACLU Foundation,136213516,R,2016,advocate,1
ACLU Foundation,136213516,R,2016,disabilities,1
ACLU Foundation,136213516,R,2016,equality,2
ACLU Foundation,136213516,R,2016,gender,1
ACLU Foundation,136213516,R,2016,justice,3
ACLU Foundation,136213516,R,2016,women,1
ACLU Foundation,136213516,R,2020,acknowledgement,1
ACLU Foundation,136213516,R,2020,advocacy,1
ACLU Foundation,136213516,R,2020,equity,4
ACLU Foundation,136213516,R,2020,impact,2
ACLU Foundation,136213516,R,2020,people of color,1
ACLU Foundation,136213516,R,2020,race,2
ACLU Foundation,136213516,R,2020,advocate,1
ACLU Foundation,136213516,R,2020,disabilities,1
ACLU Foundation,136213516,R,2020,gender,1
ACLU Foundation,136213516,R,2020,justice,1
ACLU Foundation,136213516,R,2020,women,1
ACLU Foundation,136213516,R,2022,acknowledgement,1
